X,Y,objectid,name,licensed_beds,island,mailing_address,physical_address,phone,alt_phone,fax,poc,website,accred_status,cert_status,critical_access_hosp,provider_num
-157.757103615915,21.3814063603867,1,ADVENTIST HEALTH CASTLE,160,OAHU,"640 Ulukahiki Street, Kailua, Hawaii 96734","640 Ulukahiki Street, Kailua, Hawaii 96734",(808) 263-5500,,(808) 263-5123,"Kathy Raethel, President/CEO",https://www.adventisthealth.org/castle/,TJC,X,,120006
-155.470496262671,20.0763939839396,2,HALE HO’OLA HAMAKUA,11,HAWAII,"45-547 Plumeria Street, Honokaa, Hawaii 96727","45-547 Plumeria Street, Honokaa, Hawaii 96727",(808) 932-4100,,(808) 775-9977,"David A. Culbreth, Administrator",https://www.halehoolahamakua.org/,,X,X,121307
-157.810021385891,21.4094912912562,3,HAWAII STATE HOSPITAL,202,OAHU,"45-710 Keaahala Road, Kaneohe, Hawaii  96744","45-710 Keaahala Road, Kaneohe, Hawaii  96744",(808) 247-2191,,(808) 247-7335,"Run F. Heidelberg, DNP, APRN-RX, Administrator",https://health.hawaii.gov/,TJC,,,
-155.112982850348,19.7175281023897,4,HILO MEDICAL CENTER,166,HAWAII,"1190 Waianuenue Avenue, Hilo, Hawaii  96720","1190 Waianuenue Avenue, Hilo, Hawaii  96720",(808) 932-3000,,(808) 974-4746,"Dan Brinkman, Regional CEO",https://www.hilomedicalcenter.org/,TJC,X,,120005
-158.026048705401,21.3718078306727,5,KAHI MOHALA,88,OAHU,"91-2301 Fort Weaver Road, Ewa Beach, Hawaii  96706","91-2301 Fort Weaver Road, Ewa Beach, Hawaii  96706",(808) 671-8511,,(808) 677-2570,"Claudia Crist, CEO",https://www.sutterhealth.org/kahi,TJC,X,,124001
-157.952220734749,21.6773388592919,6,KAHUKU MEDICAL CENTER,21,OAHU,"56-117 Pualalea Street, Kahuku, Hawaii 96731","56-117 Pualalea Street, Kahuku, Hawaii 96731",(808) 293-9221,,(808) 293-2262,"Alan MacPhee, CEO",http://www.kmc-hi.org/,,X,X,121304
-157.900400148833,21.3625714701118,7,KAISER FOUNDATION HOSPITAL,295,OAHU,"3288 Moanalua Road, Honolulu, Hawaii  96819","3288 Moanalua Road, Honolulu, Hawaii  96819",(808) 432-0000,,(808) 432-7736,"Sam Balukoff, Hospital Administrator",https://healthy.kaiserpermanente.org/hawaii/facilities/kaiser-permanente-moanalua-medical-center-100434,TJC,X,,120011
-157.834295283931,21.3002643493044,8,KAPIOLANI MEDICAL CENTER for WOMEN and CHILDREN,253,OAHU,"1319 Punahou Street, Honolulu, Hawaii 96826","1319 Punahou Street, Honolulu, Hawaii 96826",(808) 983-6000,,(808) 983-6086,"David Underriner, Executive Vice President and CEO",https://www.hawaiipacifichealth.org/kapiolani/locations/kapiolani-medical-center/,TJC,X,,123300
-155.47200389435,19.2629167094653,9,KAU HOSPITAL,21,HAWAII,"P.O. Box 40, Pahala, Hawaii 96777","1 Kamani Street, Pahala, Hawaii 96777",(808) 932-4200,,(808) 928-8980,"Denise Mackey, Administrator",http://kauai.hhsc.org/,,X,X,121301
-159.665606910499,21.954635402809,10,KAUAI VETERANS MEMORIAL HOSPITAL,25,KAUAI,"P.O. Box 337, Waimea, Hawaii 96796","4643 Waimea Canyon Road, Waimea, Hawaii 96796",(808) 338-9431,,(808) 338-9420,"Lance Segawa, Regional Chief Executive Officer",http://kauai.hhsc.org/,TJC,X,X,121300
-155.812759874187,20.234701168159,11,KOHALA HOSPITAL,6,HAWAII,"P.O. Box 10, Kapaau, Hawaii 96755","54-383 Hospital Road, Kapaau, Hawaii 96755",(808) 889-6211,,(808) 889-6978,"Eugene (Gino) Amar, Administrator",https://kohala.hhsc.org/,,X,X,121302
-155.918671494146,19.5203117425442,12,KONA COMMUNITY HOSPITAL,94,HAWAII,"79-1019 Haukapila Street, Kealakekua, Hawaii 96750","79-1019 Haukapila Street, Kealakekua, Hawaii 96750",(808) 322-9311,,(808) 322-4479,"Jay E. Kreuzer, Regional Chief Executive Officer",https://kch.hhsc.org/,TJC,X,,120019
-157.856380285519,21.3223715010624,13,KUAKINI MEDICAL CENTER,212,OAHU,"347 North Kuakini Street, Honolulu, Hawaii 96817","347 North Kuakini Street, Honolulu, Hawaii 96817",(808) 536-2236,,(808) 547-9547,"Gregg Oishi, Acting Administrator",https://www.kuakini.org/wps/portal/,TJC,X,,120007
-156.358542480862,20.7022315149637,14,KULA HOSPITAL,9,MAUI,"100 Keokea Place, Kula, Hawaii 96790-7450","100 Keokea Place, Kula, Hawaii 96790-7450",(808) 878-1221,,(808) 878-1791,"Kerry D. Pitcher, Senior Director of LTC & CAH",https://www.mauihealth.org/locations/kula-hospital/,,X,X,121308
-156.919989762867,20.8267910365883,15,LANAI COMMUNITY HOSPITAL,4,LANAI,"P.O. Box 630650, Lanai City, Hawaii 96763","628 7th Street, Lanai City, Hawaii 96763",(808) 565-8450,,(808) 565-6887,"Kerry D. Pitcher, Senior Director of LTC & CAH",https://www.mauihealth.org/locations/lanai-community-hospital/,,X,X,121305
-157.801401604156,21.2737158296642,16,LEAHI HOSPITAL,4,OAHU,"3675 Kilauea Avenue, Honolulu, Hawaii 96816","3675 Kilauea Avenue, Honolulu, Hawaii 96816",(808) 733-8000,,(808) 733-7914,"Derek Akiyoshi, CEO",https://leahi.hhsc.org/,,X,,122001
-156.488676829172,20.8841431091073,17,MAUI MEMORIAL MEDICAL CENTER,219,MAUI,"221 Mahalani Street, Wailuku, Hawaii 96793","221 Mahalani Street, Wailuku, Hawaii 96793",(808) 244-9056,,(808) 242-2443,"Michael Rembis, Administrator and CEO",https://www.mauihealth.org/locations/maui-memorial-medical-center/,TJC,X,,120002
-157.015514420878,21.0901506069796,18,MOLOKAI GENERAL HOSPITAL,15,MOLOKAI,"P.O. Box 408, Kaunakakai, Hawaii 96748","280 Home Olu Place, Kaunakakai, Hawaii 96748",(808) 553-5331,,(808) 553-3133,"Janice Kalanihuia, President",https://www.queens.org/molokai/molokai-general-hospital,TJC,X,X,121303
-155.67153378799,20.021927818173,19,QUEEN’S NORTH HAWAII COMMUNITY HOSPITAL,35,HAWAII,"P.O. Box 2799, Kamuela, Hawaii 96743","67-1125 Mamalahoa Highway, Kamuela, Hawaii 96743",(808) 885-4444,,(808) 881-4404,"Dr. Crystal Hammer, Administrator",https://www.queens.org/north-hawaii/north-hawaii-community-hospital,TJC,X,,120028
-157.938718118359,21.3834020390631,20,PALI MOMI MEDICAL CENTER,118,OAHU,"98-1079 Moanalua Road, Aiea, Hawaii 96701","98-1079 Moanalua Road, Aiea, Hawaii 96701",(808) 486-6000,,(808) 486-1382,"David Unnderriner, Executive Vice President and CEO",https://www.hawaiipacifichealth.org/pali-momi/,TJC,X,,120026
-157.855097961483,21.3210694877889,21,REHABILITATION HOSPITAL OF THE PACIFIC,82,OAHU,"226 North Kuakini Street, Honolulu, Hawaii 96817","226 North Kuakini Street, Honolulu, Hawaii 96817",(808) 531-3511,,(808) 544-3336,"Timothy J. Roe, MD, President and CEO",https://www.rehabhospital.org/,TJC,X,,123025
-159.314134354018,22.0877068621508,22,SAMUEL MAHELONA  MEMORIAL HOSPITAL,14,KAUAI,"4800 Kawaihau Road, Kapaa, Hawaii 96746","4800 Kawaihau Road, Kapaa, Hawaii 96746",(808) 822-4961,,(808) 822-5781,"Lance Segawa, Regional Chief Executive Officer",http://kauai.hhsc.org/facilities/samuel-mahelona-memorial-hospital-smmh/,,X,X,121306
-157.834423269905,21.3001769741898,23,SHRINERS HOSPITAL FOR  CHILDREN,24,OAHU,"1310 Punahou Street, Honolulu, Hawaii 96826","1310 Punahou Street, Honolulu, Hawaii 96826",(808) 941-4466,,(808) 941-4466,"Anton C. Smith, Hospital Administrator",https://www.shrinershospitalsforchildren.org/shc,TJC,X,,123301
-157.850739047554,21.3022469044675,24,STRAUB CLINIC AND HOSPITAL,159,OAHU,"888 South King Street, Honolulu, Hawaii 96813","888 South King Street, Honolulu, Hawaii 96813",(808) 522-4000,,(808) 522-4141,"David Underriner, Executive Vice President and CEO",https://www.hawaiipacifichealth.org/straub/,TJC,X,,120022
-157.855211180524,21.3075411025131,25,THE QUEEN’S MEDICAL CENTER,535,OAHU,"1301 Punchbowl Street, Honolulu, Hawaii 96813","1301 Punchbowl Street, Honolulu, Hawaii 96813",(808) 538-9011,,(808) 547-4018,"Dr. Jill Hoggard Green, President and CEO",https://www.queens.org/the-queens-medical-center/queens-medical-center,TJC,X,,120001
-157.86311477001,21.3270657307668,26,THE QUEEN’S MEDICAL CENTER – HALE PULAMA MAU,40,OAHU,"Kuakini Medical Center, 347 N. Kuakini Street, 7th Floor, Honolulu, Hawaii 96817","Kuakini Medical Center, 347 N. Kuakini Street, 7th Floor, Honolulu, Hawaii 96817",(808) 691-8731,,(808) 547-4018,"Jason C. Chang, Executive Vice President and COO",https://www.queens.org/the-queens-medical-center/services/hale-pulama-mau/contact-us-hale-pulama-mau-qmc,TJC,X,,120001
-158.026070745016,21.3711363117509,27,THE QUEEN’S MEDICAL CENTER – WEST OAHU,104,OAHU,"91-2141 Fort Weaver Road, Ewa Beach, Hawaii 96706","91-2141 Fort Weaver Road, Ewa Beach, Hawaii 96706",(808) 691-3000,,(808) 547-4018,"Susan Murray, COO",https://www.queens.org/west-oahu/queens-medical-center-west-oahu,TJC,X,,120001
-158.027311989203,21.4987118535254,28,WAHIAWA GENERAL HOSPITAL,42,OAHU,"128 Lehua Street, Wahiawa, Hawaii 96786","128 Lehua Street, Wahiawa, Hawaii 96786",(808) 621-8411,,(808) 621-4490,"Brian Cunningham, CEO",https://wahiawageneral.org/,TJC,X,,120004
-159.366397774873,21.9855807398364,29,WILCOX MEMORIAL HOSPITAL,72,KAUAI,"3-3420 Kuhio Highway, Lihue, Hawaii 96766","3-3420 Kuhio Highway, Lihue, Hawaii 96766",(808) 245-1100,,(808) 245-1171,"Jen Chahanovich, President and CEO",https://www.hawaiipacifichealth.org/wilcox/,TJC,X,,120014
