X,Y,objectid,school,address,alt_address,city,cty_dist,island,state,zipcode,website,grades,gender,tuition21,faculty21,enrollment21
-158.185067325118,21.438037300676,1,Adventist Malama Elementary School,86-072 Farrington Hwy.,,Waianae,Oahu - Central/Leeward,Oahu,HI,96792,http://www.adventistmalama.org,K-8,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: 5880.00; Grade 1: 5880.00; Grade 2: 5880.00; Grade 3: 5880.00; Grade 4: 5880.00; Grade 5: 5880.00; Grade 6: 5880.00; Grade 7: 5880.00; Grade 8: 5880.00; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Higher Ed",3,55
-157.036234730822,21.1518068003414,2,Aka'ula School,1000  Kalae Highway,,Kualapuu,Molokai,Molokai,HI,96757,www.akaula.org,5th thru 12th,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: ; Grade 1: ; Grade 2: ; Grade 3: ; Grade 4: ; Grade 5: 10,000; Grade 6: 10,000; Grade 7: 10,000; Grade 8: 10,000; Grade 9: 10,000; Grade 10: 10,000; Grade 11: 10,000; Grade 12: 10,000; Higher Education: ",3,34
-157.917217158388,21.6148589020526,3,"Asia Pacific International School, Hawaii Campus",54-230 Kamehameha Hwy.,,Hauula,Oahu - Windward/North Shore,Oahu,HI,96717,www.apishawaii.org,K-12,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: $17,300; Grade 1: $17,300; Grade 2: $17,300; Grade 3: $17,300; Grade 4: $17,300; Grade 5: $20,400; Grade 6: $20,400; Grade 7: $20,400; Grade 8: $20,400; Grade 9: $21,500; Grade 10: $21,500; Grade 11: $21,500; ",16,150
-157.933958775622,21.3404581281177,4,Assets School,One Ohana Nui Way,,Honolulu,Oahu - Honolulu,Oahu,HI,96818,www.assets-school.org,K-12,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: $25,776; Grade 1: $25,776; Grade 2: $25,776; Grade 3: $25,776; Grade 4: $25,776; Grade 5: $25,776; Grade 6: $25,776; Grade 7: $25,776; Grade 8: $25,776; Grade 9: $27,155; Grade 10: $27,155; Grade 11: $27,155; ",59,325
-157.94819125223,21.3995268055883,5,Calvary Chapel Christian School,98-1016 Komo Mai Dr.,,Aiea,Oahu - Honolulu,Oahu,HI,96701,cccsofhonolulu.org,Kindergarten thru 12th,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: 6300; Grade 1: 6300; Grade 2: 6300; Grade 3: 6300; Grade 4: 6300; Grade 5: 6300; Grade 6: 6300; Grade 7: 6405; Grade 8: 6405; Grade 9: 7455; Grade 10: 7455; Grade 11: 7455; Grade 12: 7455; Higher Education: ",15,133
-156.330903242811,20.8268818466686,6,Carden Academy of Maui,55 Maka'ena Pl.,,Makawao,Maui,Maui,HI,96768,www.cardenmaui.org,PreSchool thru 8th,Co-ed,"Early Childhood: ; PreSchool: $11,955; Kindergarten: $14,055; Grade 1: $14,055; Grade 2: $14,055; Grade 3: $14,055; Grade 4: $14,055; Grade 5: $14,055; Grade 6: $15,095; Grade 7: $15,095; Grade 8: $15,095; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Hi",11,156
-157.833665455099,21.2989119351216,7,Central Union Church Preschool & Kindergarten,1660 South Beretania Street,,Honolulu,Oahu - Honolulu,Oahu,HI,96826,www.centralunionpreschool.org,Toddler thru Kindergarten,Co-ed,"Early Childhood: $19,339.00; PreSchool: $16,759.00; Kindergarten: ; Grade 1: ; Grade 2: ; Grade 3: ; Grade 4: ; Grade 5: ; Grade 6: ; Grade 7: ; Grade 8: ; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Higher Education: ",25,172
-157.902607052852,21.3656099622186,8,Christian Academy,3400 Moanalua Road,,Honolulu,Oahu - Honolulu,Oahu,HI,96819,www.capatriots.org,P3-12,Co-ed,"Early Childhood: ; PreSchool: 7606-10311; Kindergarten: 9080; Grade 1: 9080; Grade 2: 9080; Grade 3: 9080; Grade 4: 9080; Grade 5: 9080; Grade 6: 9350; Grade 7: 9350; Grade 8: 9350; Grade 9: 9685; Grade 10: 9685; Grade 11: 9685; Grade 12: 9685; Higher Edu",28,222
-155.029382097338,19.627858536511,9,Christian Liberty Academy,16-675 Milo Street,,Keaau,Hawaii (Big Island),Hawaii,HI,96749,www.clahawaii.org,PreSchool thru 12th,Co-ed,"Early Childhood: ; PreSchool: 8000; Kindergarten: 6500; Grade 1: 5500; Grade 2: 5500; Grade 3: 5500; Grade 4: 5500; Grade 5: 5500; Grade 6: 6500; Grade 7: 6500; Grade 8: 6500; Grade 9: 7250; Grade 10: 7250; Grade 11: 7250; Grade 12: 7250; Higher Education",24,198
-157.867346780338,21.3307787553633,10,Damien Memorial School,1401 Houghtailing Street,,Honolulu,Oahu - Honolulu,Oahu,HI,96817,www.damien.edu,6th thru 12th,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: ; Grade 1: ; Grade 2: ; Grade 3: ; Grade 4: ; Grade 5: ; Grade 6: $12,280; Grade 7: $12,532; Grade 8: $12,532; Grade 9: $16,392; Grade 10: $16,392; Grade 11: $16,392; Grade 12: $16,392; Higher Education: ",60,663
-156.371658624458,20.9032620968973,11,Doris Todd Christian Academy,519 Baldwin Avenue,,Paia,Maui,Maui,HI,96779,www.doristoddchristian.org,PreSchool thru 12th,Co-ed,"Early Childhood: ; PreSchool: 7693; Kindergarten: 7693; Grade 1: 7693; Grade 2: 7693; Grade 3: 7693; Grade 4: 7693; Grade 5: 7693; Grade 6: 8149; Grade 7: 8149; Grade 8: 8149; Grade 9: 8149; Grade 10: 8149; Grade 11: 8149; Grade 12: 8149; Higher Education",15,186
-158.039166894561,21.3374462184897,12,Friendship Christian Schools,91-1130 Renton Road,91-1207 Renton Road,Ewa,Oahu - Central/Leeward,Oahu,HI,96706,www.fcshawaii.org,PreSchool thru 12th,Co-ed,"Early Childhood: ; PreSchool: 5157; Kindergarten: 5157; Grade 1: 5157; Grade 2: 5157; Grade 3: 5157; Grade 4: 5157; Grade 5: 5157; Grade 6: 5157; Grade 7: 5157; Grade 8: 5157; Grade 9: 5157; Grade 10: 5157; Grade 11: 5157; Grade 12: 5157; Higher Education",24,264
-155.088858788534,19.7222822476138,13,Haili Christian School,190 Ululani Street,,Hilo,Hawaii (Big Island),Hawaii,HI,96720,www.hailischool.net,PreSchool thru 10th,Co-ed,"Early Childhood: ; PreSchool: 7950; Kindergarten: 4500; Grade 1: 4500; Grade 2: 4500; Grade 3: 4500; Grade 4: 4500; Grade 5: 4500; Grade 6: 4500; Grade 7: 4700; Grade 8: 4700; Grade 9: 4700; Grade 10: 4700; Grade 11: ; Grade 12: ; Higher Education: ",21,153
-156.32725420971,20.7658475752044,14,Haleakala Waldorf School,4160 Lower Kula Road,,Kula,Maui,Maui,HI,96790,www.waldorfmaui.org,Early Childhood thru 12th,Co-ed,"Early Childhood: $630-$800; PreSchool: 4500-12995; Kindergarten: $12,900+; Grade 1: $16,320; Grade 2: $16,320; Grade 3: $16,320; Grade 4: $16,320; Grade 5: $16,320; Grade 6: $16,995; Grade 7: $16,995; Grade 8: $16,995; Grade 9: $18,600; Grade 10: $18,600;",27,226
-157.831801718473,21.3074276442729,15,Hanahau'oli School,1922 Makiki Street,,Honolulu,Oahu - Honolulu,Oahu,HI,96822,www.hanahauoli.org,Preschool - 6,Co-ed,"Early Childhood: ; PreSchool: 24040; Kindergarten: 24040; Grade 1: 24040; Grade 2: 24040; Grade 3: 24040; Grade 4: 24040; Grade 5: 24040; Grade 6: 24040; Grade 7: ; Grade 8: ; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Higher Education: ",25,212
-158.00904437927,21.4408978512712,16,Hanalani Schools,94-294 Anania Drive,,Mililani,Oahu - Central/Leeward,Oahu,HI,96789,www.hanalani.org,PreK - 12,Co-ed,"Early Childhood: ; PreSchool: 13,120; Kindergarten: 14,310; Grade 1: 14,310; Grade 2: 14,310; Grade 3: 14,310; Grade 4: 14,310; Grade 5: 14,310; Grade 6: 14,310; Grade 7: 15,525; Grade 8: 15,525; Grade 9: 15,525; Grade 10: 15,525; Grade 11: 15,525; Grade ",53,606
-157.847835015238,21.3297835372032,17,Hawaii Baptist Academy,420 Wyllie Street,,Honolulu,Oahu - Honolulu,Oahu,HI,96817,www.hba.net,Junior Kindergarten thru 12th,Co-ed,"Early Childhood: ; PreSchool: 14,950; Kindergarten: 18,650; Grade 1: 18,650; Grade 2: 18,650; Grade 3: 18,650; Grade 4: 18,650; Grade 5: 18,650; Grade 6: 18,650; Grade 7: 18,650; Grade 8: 18,650; Grade 9: 18,650; Grade 10: 18,650; Grade 11: 18,650; Grade ",81,1030
-155.698835229689,20.0302703775212,18,Hawaii Preparatory Academy,65-1692 Kohala Mountain Road,,Kamuela,Hawaii (Big Island),Hawaii,HI,,www.hpa.edu,Kindergarten thru 12th plus PG,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: 22,900; Grade 1: 22,900; Grade 2: 22,900; Grade 3: 22,900; Grade 4: 22,900; Grade 5: 22,900; Grade 6: 25,300; Grade 7: 25,300; Grade 8: 25,300; Grade 9: 29,600 day; Grade 10: 29,600 day; Grade 11: 29,600 day; ",,590
-157.843628191122,21.3055451078695,19,Hawaiian Mission Academy - 9-12 Campus,1438 Pensacola St,,Honolulu,Oahu - Honolulu,Oahu,HI,96822,www.hawaiianmissionacademy.org,9th - 12th,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: ; Grade 1: ; Grade 2: ; Grade 3: ; Grade 4: ; Grade 5: ; Grade 6: ; Grade 7: ; Grade 8: ; Grade 9: $14,327; Grade 10: $14,327; Grade 11: $14,327; Grade 12: $14,327; Higher Education: ",5,77
-157.741195597778,21.4023292187548,20,Hawaiian Mission Academy - Windward Campus,160 Mookua Street,,Kailua,Oahu - Windward/North Shore,Oahu,HI,96734,www.hmawindward.org,Kindergarten thru 8th,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: 6050-8500; Grade 1: 6050-8500; Grade 2: 6050-8500; Grade 3: 6050-8500; Grade 4: 6050-8500; Grade 5: 6050-8500; Grade 6: 6050-8500; Grade 7: 6050-8500; Grade 8: 6050-8500; Grade 9: ; Grade 10: ; Grade 11: ; Gra",4,67
-157.836898866053,21.3014933115399,21,Hawaiian Mission Academy Ka Lama Iki,1415 Makiki Street,,Honolulu,Oahu - Honolulu,Oahu,HI,96814,www.kalamaiki.org,K-8,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: 9,100; Grade 1: 9,100; Grade 2: 9,100; Grade 3: 9,100; Grade 4: 9,100; Grade 5: 9,100; Grade 6: 9,100; Grade 7: 9,100; Grade 8: 9,100; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Higher Education: ",6,73
-156.463591371938,20.884666716892,22,Hawaiian Mission Academy Maui,261 S. Puunene Avenue,,Kahului,Maui,Maui,HI,96732,www.hmamaui.org,K-8,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: 7200; Grade 1: 7200; Grade 2: 7200; Grade 3: 7200; Grade 4: 7200; Grade 5: 7200; Grade 6: 7200; Grade 7: 7200; Grade 8: 7200; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Higher Education: ",1,20
-158.023073086994,21.4982684811302,23,Ho'ala School,1067 A California Avenue,,Wahiawa,Oahu - Honolulu,Oahu,HI,96786,www.hoalaschool.org,Kindergarten thru 8th,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: 10995; Grade 1: 10995; Grade 2: 10995; Grade 3: 10995; Grade 4: 10995; Grade 5: 10995; Grade 6: 10995; Grade 7: 10995; Grade 8: 10995; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Higher Education: ",5,51
-157.930277671302,21.3386023315734,24,Holy Family Catholic Academy,830 Main Street,,Honolulu,Oahu - Central/Leeward,Oahu,HI,96818,www.hfcahawaii.org,PK-8,Co-ed,"Early Childhood: ; PreSchool: 9270; Kindergarten: 8045; Grade 1: 8045; Grade 2: 8045; Grade 3: 8045; Grade 4: 8045; Grade 5: 8945; Grade 6: 8945; Grade 7: 8945; Grade 8: 8945; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Higher Education: ",24,314
-157.752271813439,21.2785201632258,25,Holy Nativity School,5286 Kalaniana`ole Highway,,Honolulu,Oahu - Honolulu,Oahu,HI,96821,www.holynativityschool.org,Early Childhood thru 6th,Co-ed,"Early Childhood: 17,371; PreSchool: 17,900; Kindergarten: 17, 900; Grade 1: 17, 900; Grade 2: 17, 900; Grade 3: 17, 900; Grade 4: 17, 900; Grade 5: 17, 900; Grade 6: 17, 900; Grade 7:  ; Grade 8:  ; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Higher Ed",20,140
-157.853380413111,21.3166247930191,26,Hongwanji Mission School,1728 Pali Highway,,Honolulu,Oahu - Honolulu,Oahu,HI,96813,www.HongwanjiMissionSchool.com,Preschool thru 8th,Co-ed,"Early Childhood: ; PreSchool: 11850; Kindergarten: 11850; Grade 1: 11850; Grade 2: 11850; Grade 3: 11850; Grade 4: 11850; Grade 5: 11850; Grade 6: 11850; Grade 7: 11850; Grade 8: 11850; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Higher Education: ",39,363
-157.734611184962,21.2855575381335,27,Honolulu Waldorf School,350 Ulua Street,,Honolulu,Oahu - Honolulu,Oahu,HI,96821,www.honoluluwaldorf.org,PreSchool thru 8th,Co-ed,"Early Childhood: ; PreSchool: 16200; Kindergarten: 16200; Grade 1: 18288; Grade 2: 18288; Grade 3: 18288; Grade 4: 18288; Grade 5: 18288; Grade 6: 18288; Grade 7: 18288; Grade 8: 18288; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Higher Education: ",28,144
-156.449068157089,20.7445129433418,28,"Horizons Academy of Maui, Inc.",2680 Wai Wai Place,,Kihei,Maui,Maui,HI,96753,www.horizonsacademy.org,Pre-K thru continuing ed,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: 4000; Grade 1: 4000; Grade 2: 4000; Grade 3: 4000; Grade 4: 4000; Grade 5: 4000; Grade 6: 4000; Grade 7: 4000; Grade 8: 4000; Grade 9: 4000; Grade 10: 4000; Grade 11: 4000; Grade 12: 4000; Higher Education: 40",1,6
-157.778674226064,21.4097658296277,29,Huakailani School for Girls,45-035 Kaneohe Bay Drive,,Kaneohe,Oahu - Windward/North Shore,Oahu,HI,96744,www.huakailani.org,Kindergarten thru 8th,Girls Only,"Early Childhood: ; PreSchool: ; Kindergarten: 12,000; Grade 1: 12,000; Grade 2: 12,000; Grade 3: 12,000; Grade 4: 12,000; Grade 5: 12,000; Grade 6: 12,000; Grade 7: 12,000; Grade 8: 12,000; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Higher Education: ",4,35
-157.824003042132,21.2846558052868,30,'Iolani School,563 Kamoku Street,,Honolulu,Oahu - Honolulu,Oahu,HI,96826,www.iolani.org,Kindergarten thru 12th,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: 26150; Grade 1: 26150; Grade 2: 26150; Grade 3: 26150; Grade 4: 26150; Grade 5: 26150; Grade 6: 26150; Grade 7: 26150; Grade 8: 26150; Grade 9: 26150; Grade 10: 26150; Grade 11: 26150; Grade 12: 26150; Higher ",218,2116
-158.080418763696,21.3329823487155,31,Island Pacific Academy,909 Haumea Street,,Kapolei,Oahu - Central/Leeward,Oahu,HI,96707,www.islandpacificacademy.org,K-12,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: 16,335; Grade 1: 16,335; Grade 2: 16,335; Grade 3: 16,335; Grade 4: 16,335; Grade 5: 16,335; Grade 6: 17,300; Grade 7: 17,300; Grade 8: 17,300; Grade 9: 17,300; Grade 10: 17,300; Grade 11: 17,300; Grade 12: 17",60,544
-159.397741849318,21.9711382322489,32,Island School,3-1875 Kaumualii Highway,,Lihue,Kauai,Kauai,HI,,www.ischool.org,Pre-K - 12th,Co-ed,"Early Childhood: ; PreSchool: 11,000; Kindergarten: 17,000; Grade 1: 17,000; Grade 2: 17,000; Grade 3: 17,000; Grade 4: 17,000; Grade 5: 17,000; Grade 6: 17,000; Grade 7: 17,000; Grade 8: 17,000; Grade 9: 17,000; Grade 10: 17,000; Grade 11: 17,000; Grade ",37,477
-156.45927007242,20.8760829182384,33,Ka'ahumanu Hou Christian School,777 Maui Veterans HWY,,Kahului,Maui,Maui,HI,96732,http://khcsandnoahsarkmaui.com/,PreSchool thru 12th,Co-ed,"Early Childhood: ; PreSchool: 5000; Kindergarten: 4200; Grade 1: 4200; Grade 2: 4200; Grade 3: 4200; Grade 4: 4200; Grade 5: 4200; Grade 6: 4200; Grade 7: 4200; Grade 8: 4200; Grade 9: 4200; Grade 10: 4200; Grade 11: 4200; Grade 12: 4200; Higher Education",8,123
-159.319158498935,22.0695993272672,34,Kahili Adventist School,4-1132 Kuhio Hwy,,Kapaa,Kauai,Kauai,HI,96746,kahiliadventistschool.org,K thru 8th,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: 6000; Grade 1: 6000; Grade 2: 6000; Grade 3: 6000; Grade 4: 6000; Grade 5: 6000; Grade 6: 6000; Grade 7: 6000; Grade 8: 6000; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Higher Education: ",2,23
-157.798359015091,21.2806381737407,35,Kaimuki Christian School,1117 Koko Head Avenue,,Honolulu,Oahu - Honolulu,Oahu,HI,96816,www.kaimukichristianschool.org,P2-12th,Co-ed,"Early Childhood: 14300; PreSchool: 14300; Kindergarten: 15730; Grade 1: 15730; Grade 2: 15730; Grade 3: 15730; Grade 4: 15730; Grade 5: 15730; Grade 6: 15730; Grade 7: 15730; Grade 8: 15730; Grade 9: 16730; Grade 10: 16730; Grade 11: 16730; Grade 12: 1673",32,280
-155.054714362277,19.6089048614406,36,Kamehameha Schools Hawai'i,16-716 Volcano Road,,Keaau,Hawaii (Big Island),Hawaii,HI,96749,www.ksbe.edu,Kindergarten thru 12th,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: 4,898; Grade 1: 4,898; Grade 2: 4,898; Grade 3: 4,898; Grade 4: 4,898; Grade 5: 4,898; Grade 6: 5,042; Grade 7: 6,026; Grade 8: 6,026; Grade 9: 6,026; Grade 10: 6,026; Grade 11: 6,026; Grade 12: 6,026; Higher ",99,1180
-157.85868546866,21.3393396726687,37,Kamehameha Schools Kapalama,1887 Makuakane Street,,Honolulu,Oahu - Honolulu,Oahu,HI,,www.ksbe.edu,Kindergarten thru 12th,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: 4,898; Grade 1: 4,898; Grade 2: 4,898; Grade 3: 4,898; Grade 4: 4,898; Grade 5: 4,898; Grade 6: 4,898; Grade 7: 6,026; Grade 8: 6,026; Grade 9: 6,026; Grade 10: 6,026; Grade 11: 6,026; Grade 12: 6,026; Higher ",326,3192
-156.339909061199,20.8215766804837,38,Kamehameha Schools Maui,270 'A'apueo Parkway,,Pukalani,Maui,Maui,HI,96768,https://www.ksbe.edu/education/maui/,Kindergarten thru 12th,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: 4,898; Grade 1: 4,898; Grade 2: 4,898; Grade 3: 4,898; Grade 4: 4,898; Grade 5: 4,898; Grade 6: 5,042; Grade 7: 6,026; Grade 8: 6,026; Grade 9: 6,026; Grade 10: 6,026; Grade 11: 6,026; Grade 12: 6,026; Higher ",93,1106
-159.405053572043,22.2164221240423,39,Kauai Christian Academy,4000 Kilauea Rd,,Kilauea,Kauai,Kauai,HI,96754,www.kcaschool.org,PreK3-12,Co-ed,"Early Childhood: ; PreSchool: 640/790mo; Kindergarten: 7100; Grade 1: 7100; Grade 2: 7100; Grade 3: 7100; Grade 4: 7100; Grade 5: 7100; Grade 6: 7100; Grade 7: 7100; Grade 8: 7100; Grade 9: 7100; Grade 10: 7100; Grade 11: 7100; Grade 12: 7100; Higher Educ",12,156
-157.857925397867,21.3034358761113,40,Kawaiaha'o Church School,872 Mission Lane,,Honolulu,Oahu - Honolulu,Oahu,HI,96813,www.kawaiahaoschool.org,Early Childhood thru 6th,Co-ed,"Early Childhood: 13,480.; PreSchool: 8,379.; Kindergarten: 8,379.; Grade 1: 8,379.; Grade 2: 8,379.; Grade 3: 8,379.; Grade 4: 8,379.; Grade 5: 8,379.; Grade 6: 8,379.; Grade 7: ; Grade 8: ; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Higher Education:",15,110
-156.536548789561,20.8832745695475,41,Ke Kula 'o Pi'ilani,875 'Iao Valley Rd,,Wailuku,Maui,Maui,HI,96793,https://www.kekulaopiilani.com,K-5,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: 8,000; Grade 1: 8,000; Grade 2: 8,000; Grade 3: 8,000; Grade 4: 8,000; Grade 5: 8,000; Grade 6: ; Grade 7: ; Grade 8: ; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Higher Education: ",5,53
-155.835210892771,20.2389160502243,42,Kohala Adventist School,55-3361 Akoni Pule Highway,,Hawi,Hawaii (Big Island),Hawaii,HI,96719,www.koaschool.org,Kindergarten thru 8th,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: 4900; Grade 1: 4900; Grade 2: 4900; Grade 3: 4900; Grade 4: 4900; Grade 5: 4900; Grade 6: 4900; Grade 7: 4900; Grade 8: 4900; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Higher Education: ",1,20
-155.910288980116,19.4908142749913,43,Kona Adventist Christian School,82-1013 Kinue Road,,Captain Cook,Hawaii (Big Island),Hawaii,HI,96704,www.kacs.adventistfaith.org,Kindergarten thru 8th,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: 4500; Grade 1: 4500; Grade 2: 4500; Grade 3: 4500; Grade 4: 4500; Grade 5: 4500; Grade 6: 4500; Grade 7: 4500; Grade 8: 4500; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Higher Education: ",1,21
-155.97381991075,19.687292167053,44,Kuleana Education Academy,74-4820 Mamalahoa Highway,,Holualoa,,Hawaii,HI,96725,www.kuleanaeducation.com,K-8,Co-ed,"Early Childhood: ; PreSchool: ; Kindergarten: 8500; Grade 1: 8500; Grade 2: 8500; Grade 3: 8500; Grade 4: 8500; Grade 5: 8500; Grade 6: 8500; Grade 7: 8500; Grade 8: 8500; Grade 9: ; Grade 10: ; Grade 11: ; Grade 12: ; Higher Education: ",7,64
-157.815960569426,21.2612351943191,45,La Pietra - Hawaii School for Girls,2933 Poni Moi Road,,Honolulu,Oahu - Honolulu,Oahu,HI,96815,www.lapietra.edu,6th thru 12th,Girls Only,"Early Childhood: ; PreSchool: ; Kindergarten: ; Grade 1: ; Grade 2: ; Grade 3: ; Grade 4: ; Grade 5: ; Grade 6: 20,400; Grade 7: 20,400; Grade 8: 20,400; Grade 9: 20,400; Grade 10: 20,400; Grade 11: 20,400; Grade 12: 20,400; Higher Education: ",23,133
-158.000049134196,21.3935946569376,46,Lanakila Baptist Schools,94-1250 Waipahu Street,,Waipahu,Oahu - Central/Leeward,Oahu,HI,96797,www.lbswarriors.com,K3-12th,Co-ed,"Early Childhood: ; PreSchool: 8000; Kindergarten: 8000; Grade 1: 8000; Grade 2: 8000; Grade 3: 8000; Grade 4: 8000; Grade 5: 8000; Grade 6: 8000; Grade 7: 8500; Grade 8: 8500; Grade 9: 8500; Grade 10: 8500; Grade 11: 8500; Grade 12: 8500; Higher Education",16,123
